p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
car      | 3      | 64         | 123.0000    
car      | 4      | 100        | 117.0000    
car      | 5      | 77         | 114.0000    
car      | 6      | 92         | 114.0000    
car      | 7      | 53         | 110.0000    
car      | 8      | 103        | 110.0000    
car      | 9      | 138        | 110.0000    
car      | 10     | 96         | 110.0000    

microwave oven | 1      | 196        | 78291.0000  
microwave oven | 2      | 197        | 78027.0000  
microwave oven | 3      | 199        | 77790.0000  
microwave oven | 4      | 198        | 77593.0000  
microwave oven | 5      | 194        | 77539.0000  
microwave oven | 6      | 192        | 77523.0000  
microwave oven | 7      | 195        | 77298.0000  
microwave oven | 8      | 190        | 76978.0000  
microwave oven | 9      | 187        | 76745.0000  
microwave oven | 10     | 189        | 76645.0000  

giraffe  | 1      | 0          | 11.0000     
giraffe  | 2      | 3          | 4.0000      
giraffe  | 3      | 1          | 3.0000      
giraffe  | 4      | 10         | 3.0000      
giraffe  | 5      | 2          | 2.0000      
giraffe  | 6      | 7          | 2.0000      
giraffe  | 7      | 8          | 2.0000      
giraffe  | 8      | 129        | 1.0000      
giraffe  | 9      | 18         | 1.0000      
giraffe  | 10     | 13         | 1.0000      

person + car | 1      | 0          | 844.0000    
person + car | 2      | 66         | 619.0000    
person + car | 3      | 50         | 605.0000    
person + car | 4      | 77         | 602.0000    
person + car | 5      | 80         | 600.0000    
person + car | 6      | 88         | 591.0000    
person + car | 7      | 111        | 583.0000    
person + car | 8      | 90         | 581.0000    
person + car | 9      | 107        | 580.0000    
person + car | 10     | 73         | 580.0000    

total    | 1      | 196        | 79709.0000  
total    | 2      | 197        | 79448.0000  
total    | 3      | 199        | 79164.0000  
total    | 4      | 192        | 78986.0000  
total    | 5      | 198        | 78935.0000  
total    | 6      | 194        | 78925.0000  
total    | 7      | 195        | 78644.0000  
total    | 8      | 190        | 78450.0000  
total    | 9      | 187        | 78139.0000  
total    | 10     | 189        | 78085.0000  

==================================================

p: ../results/model_2/teastatic_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 193        | 46878.0000  
person   | 2      | 111        | 46061.0000  
person   | 3      | 195        | 45984.0000  
person   | 4      | 161        | 45697.0000  
person   | 5      | 191        | 45443.0000  
person   | 6      | 144        | 45376.0000  
person   | 7      | 171        | 45334.0000  
person   | 8      | 129        | 45329.0000  
person   | 9      | 146        | 45324.0000  
person   | 10     | 134        | 45246.0000  

car      | 1      | 192        | 60221.0000  
car      | 2      | 194        | 58956.0000  
car      | 3      | 196        | 58682.0000  
car      | 4      | 190        | 57910.0000  
car      | 5      | 198        | 56540.0000  
car      | 6      | 162        | 56513.0000  
car      | 7      | 172        | 56421.0000  
car      | 8      | 187        | 56336.0000  
car      | 9      | 184        | 56334.0000  
car      | 10     | 180        | 56320.0000  

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 1          | 1.0000      
microwave oven | 3      | 5          | 1.0000      
microwave oven | 4      | 4          | 1.0000      
microwave oven | 5      | 2          | 1.0000      
microwave oven | 6      | 3          | 1.0000      
microwave oven | 7      | 133        | 0.0000      
microwave oven | 8      | 134        | 0.0000      
